AFORE,SIEFORE,Fecha,IRN Promedio,Ranking
  Profuturo,Todas,ago-23,5.902004883,2
  SURA,Todas,ago-23,5.822310491,3
  XXI-Banorte,Todas,ago-23,5.55560499,5
  Azteca,Todas,sep-23,4.962697122,8
  Citibanamex,Todas,sep-23,4.953199211,9
  Coppel,Todas,sep-23,5.011393103,7
  Inbursa,Todas,sep-23,5.872319435,1
  Invercap,Todas,sep-23,4.70694621,10
  PensionISSSTE,Todas,sep-23,5.593041156,4
  Principal,Todas,sep-23,5.358403567,6
  Profuturo,Todas,sep-23,5.824516159,2
  SURA,Todas,sep-23,5.720144881,3
  XXI-Banorte,Todas,sep-23,5.476917215,5
  Azteca,Todas,oct-23,4.87840255,8
  Citibanamex,Todas,oct-23,4.768671792,9
  Coppel,Todas,oct-23,4.880723425,7
  Inbursa,Todas,oct-23,5.796132452,1
  Invercap,Todas,oct-23,4.618162316,10
  PensionISSSTE,Todas,oct-23,5.527287778,4
  Principal,Todas,oct-23,5.229157157,6
  Profuturo,Todas,oct-23,5.682391388,2
  SURA,Todas,oct-23,5.532499734,3
  XXI-Banorte,Todas,oct-23,5.331757737,5
